domain,is_safe,total_vote,category
www.nytimes.com,False,1,news,2022-02-07 13:40:49.579519
theteflacademy.co.uk,True,0,business,2022-02-07 13:40:50.198847
fourthgate.org,True,1,"Information Technology, Suspicious",2022-02-07 13:40:50.921902
vegweb.com,False,0,Restaurants/Food,2022-02-07 13:40:51.548937
tailormed.co,False,0,Health,2022-02-07 13:40:52.149601
www.nytimes.com,False,1,news,2022-02-07 13:42:30.002710
theteflacademy.co.uk,True,0,business,2022-02-07 13:42:30.693955
fourthgate.org,True,1,"Information Technology, Suspicious",2022-02-07 13:42:31.554373
vegweb.com,False,0,Restaurants/Food,2022-02-07 13:42:32.573361
tailormed.co,False,0,Health,2022-02-07 13:42:33.273597
www.nytimes.com,safe,1,news,2022-02-07 13:54:29.726381
theteflacademy.co.uk,risk,0,business,2022-02-07 13:54:30.363968
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 13:54:31.176219
vegweb.com,safe,0,Restaurants/Food,2022-02-07 13:54:31.931640
tailormed.co,safe,0,Health,2022-02-07 13:54:32.497216
www.nytimes.com,safe,1,news,2022-02-07 14:03:39.332604
theteflacademy.co.uk,risk,0,business,2022-02-07 14:03:39.903007
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 14:03:40.652860
vegweb.com,safe,0,Restaurants/Food,2022-02-07 14:03:41.269588
tailormed.co,safe,0,Health,2022-02-07 14:03:42.167167
www.nytimes.com,safe,1,news,2022-02-07 14:10:24.097404
theteflacademy.co.uk,risk,0,business,2022-02-07 14:10:24.647780
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 14:10:25.247888
vegweb.com,safe,0,Restaurants/Food,2022-02-07 14:10:25.868561
tailormed.co,safe,0,Health,2022-02-07 14:10:26.417842
www.nytimes.com,safe,1,news,2022-02-07 14:11:04.107319
theteflacademy.co.uk,risk,0,business,2022-02-07 14:11:04.722055
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 14:11:05.364217
vegweb.com,safe,0,Restaurants/Food,2022-02-07 14:11:06.130449
tailormed.co,safe,0,Health,2022-02-07 14:11:07.026083
www.nytimes.com,safe,1,news,2022-02-07 14:11:39.389771
theteflacademy.co.uk,risk,0,business,2022-02-07 14:11:40.609970
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 14:11:41.575465
vegweb.com,safe,0,Restaurants/Food,2022-02-07 14:11:42.228778
tailormed.co,safe,0,Health,2022-02-07 14:11:42.784083
www.nytimes.com,safe,1,news,2022-02-07 14:25:37.874761
theteflacademy.co.uk,risk,0,business,2022-02-07 14:25:38.475726
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 14:25:39.036782
vegweb.com,safe,0,Restaurants/Food,2022-02-07 14:25:39.763865
tailormed.co,safe,0,Health,2022-02-07 14:25:40.400218
www.nytimes.com,safe,1,news,2022-02-07 14:41:04.363484
www.nytimes.com,safe,1,news,2022-02-07 14:41:48.853656
www.nytimes.com,safe,1,news,2022-02-07 14:42:02.890423
theteflacademy.co.uk,risk,0,business,2022-02-07 14:42:03.631415
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 14:42:04.423833
vegweb.com,safe,0,Restaurants/Food,2022-02-07 14:42:05.016270
tailormed.co,safe,0,Health,2022-02-07 14:42:05.773887
www.nytimes.com,safe,1,news,2022-02-07 14:44:57.873981
www.nytimes.com,safe,1,news,2022-02-07 14:45:34.247926
www.nytimes.com,safe,1,news,2022-02-07 14:46:07.981945
www.nytimes.com,safe,1,news,2022-02-07 14:49:37.621777
www.nytimes.com,safe,1,news,2022-02-07 14:49:47.027696
www.nytimes.com,safe,1,news,2022-02-07 14:50:04.167254
theteflacademy.co.uk,risk,0,business,2022-02-07 14:50:04.712727
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 14:50:05.513527
vegweb.com,safe,0,Restaurants/Food,2022-02-07 14:50:06.103931
tailormed.co,safe,0,Health,2022-02-07 14:50:06.745496
www.nytimes.com,safe,1,news,2022-02-07 14:50:33.587467
theteflacademy.co.uk,risk,0,business,2022-02-07 14:50:34.303651
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 14:50:35.244252
vegweb.com,safe,0,Restaurants/Food,2022-02-07 14:50:36.113355
tailormed.co,safe,0,Health,2022-02-07 14:50:36.799769
www.nytimes.com,safe,1,news,2022-02-07 14:52:44.510019
www.nytimes.com,safe,1,news,2022-02-07 14:53:16.198158
www.nytimes.com,safe,1,news,2022-02-07 14:54:18.516473
www.nytimes.com,safe,1,news,2022-02-07 14:54:39.162144
www.nytimes.com,safe,1,news,2022-02-07 14:54:52.197698
www.nytimes.com,safe,1,news,2022-02-07 14:55:45.078491
www.nytimes.com,safe,1,news,2022-02-07 14:57:49.097467
www.nytimes.com,safe,1,news,2022-02-07 15:17:49.013100
www.nytimes.com,safe,1,news,2022-02-07 15:18:43.770731
theteflacademy.co.uk,risk,0,business,2022-02-07 15:18:44.719930
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 15:18:45.476935
vegweb.com,safe,0,Restaurants/Food,2022-02-07 15:18:46.062063
tailormed.co,safe,0,Health,2022-02-07 15:18:46.617341
www.nytimes.com,safe,1,news,2022-02-07 15:22:58.191945
www.nytimes.com,safe,1,news,2022-02-07 15:23:26.068813
theteflacademy.co.uk,risk,0,business,2022-02-07 15:23:26.781681
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 15:23:27.640692
vegweb.com,safe,0,Restaurants/Food,2022-02-07 15:23:28.375015
tailormed.co,safe,0,Health,2022-02-07 15:23:28.944829
www.nytimes.com,safe,1,news,2022-02-07 15:26:28.227076
theteflacademy.co.uk,risk,0,business,2022-02-07 15:26:28.970570
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 15:26:29.519211
vegweb.com,safe,0,Restaurants/Food,2022-02-07 15:26:30.123364
tailormed.co,safe,0,Health,2022-02-07 15:26:30.918208
www.nytimes.com,safe,1,news,2022-02-07 15:28:19.282369
theteflacademy.co.uk,risk,0,business,2022-02-07 15:28:20.466493
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 15:28:21.114600
vegweb.com,safe,0,Restaurants/Food,2022-02-07 15:28:21.990909
tailormed.co,safe,0,Health,2022-02-07 15:28:22.551648
www.nytimes.com,safe,1,news,2022-02-07 15:28:57.805432
theteflacademy.co.uk,risk,0,business,2022-02-07 15:28:58.787058
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 15:28:59.366618
vegweb.com,safe,0,Restaurants/Food,2022-02-07 15:29:00.194020
tailormed.co,safe,0,Health,2022-02-07 15:29:00.990005
www.nytimes.com,safe,1,news,2022-02-07 15:29:24.872535
theteflacademy.co.uk,risk,0,business,2022-02-07 15:29:25.581664
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 15:29:26.502780
vegweb.com,safe,0,Restaurants/Food,2022-02-07 15:29:27.207299
tailormed.co,safe,0,Health,2022-02-07 15:29:29.095427
www.nytimes.com,safe,1,news,2022-02-07 15:38:47.245423
theteflacademy.co.uk,risk,0,business,2022-02-07 15:38:47.783412
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 15:38:48.773823
vegweb.com,safe,0,Restaurants/Food,2022-02-07 15:38:49.376029
tailormed.co,safe,0,Health,2022-02-07 15:38:50.329410
www.nytimes.com,safe,1,news,2022-02-07 15:39:53.276053
theteflacademy.co.uk,risk,0,business,2022-02-07 15:39:53.823951
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 15:39:54.376027
vegweb.com,safe,0,Restaurants/Food,2022-02-07 15:39:54.951354
tailormed.co,safe,0,Health,2022-02-07 15:39:55.605941
www.nytimes.com,safe,1,news,2022-02-07 15:40:26.215474
theteflacademy.co.uk,risk,0,business,2022-02-07 15:40:26.863294
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 15:40:27.448261
vegweb.com,safe,0,Restaurants/Food,2022-02-07 15:40:27.986055
